  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1000000E+01  0.0000000E+00  0.1426293E+01  0.7673517E+00  0.0000000E+00
  0.1000000E-02  0.0000000E+00 -0.3333333E-03  0.3333333E-09  0.9999998E+00  0.2739389E-03  0.1426292E+01  0.7673514E+00  0.1228169E-09
  0.2000000E-02  0.0000000E+00 -0.6666663E-03  0.2666666E-08  0.9999993E+00  0.5478777E-03  0.1426291E+01  0.7673503E+00  0.9825349E-09
  0.3000000E-02  0.0000000E+00 -0.9999987E-03  0.8999988E-08  0.9999985E+00  0.8218166E-03  0.1426289E+01  0.7673488E+00  0.3316052E-08
  0.4000000E-02  0.0000000E+00 -0.1333330E-02  0.2133328E-07  0.9999973E+00  0.1095755E-02  0.1426287E+01  0.7673465E+00  0.7860264E-08
  0.5000000E-02  0.0000000E+00 -0.1666660E-02  0.4166651E-07  0.9999958E+00  0.1369694E-02  0.1426284E+01  0.7673436E+00  0.1535206E-07
  0.6000000E-02  0.0000000E+00 -0.1999989E-02  0.7199962E-07  0.9999939E+00  0.1643633E-02  0.1426280E+01  0.7673401E+00  0.2652831E-07
  0.7000000E-02  0.0000000E+00 -0.2333316E-02  0.1143325E-06  0.9999918E+00  0.1917572E-02  0.1426275E+01  0.7673359E+00  0.4212589E-07
  0.8000000E-02  0.0000000E+00 -0.2666641E-02  0.1706650E-06  0.9999893E+00  0.2191511E-02  0.1426270E+01  0.7673311E+00  0.6288166E-07
  0.9000001E-02  0.0000000E+00 -0.2999963E-02  0.2429971E-06  0.9999864E+00  0.2465450E-02  0.1426264E+01  0.7673257E+00  0.8953245E-07
  0.1000000E-01  0.0000000E+00 -0.3333283E-02  0.3333283E-06  0.9999833E+00  0.2739389E-02  0.1426257E+01  0.7673196E+00  0.1228151E-06
  0.1100000E-01  0.0000000E+00 -0.3666600E-02  0.4436586E-06  0.9999797E+00  0.3013328E-02  0.1426249E+01  0.7673128E+00  0.1634664E-06
  0.1200000E-01  0.0000000E+00 -0.3999913E-02  0.5759875E-06  0.9999759E+00  0.3287266E-02  0.1426241E+01  0.7673056E+00  0.2122230E-06
  0.1300000E-01  0.0000000E+00 -0.4333223E-02  0.7323147E-06  0.9999717E+00  0.3561205E-02  0.1426232E+01  0.7672975E+00  0.2698219E-06
  0.1400000E-01  0.0000000E+00 -0.4666529E-02  0.9146397E-06  0.9999673E+00  0.3835144E-02  0.1426223E+01  0.7672890E+00  0.3369997E-06
  0.1500000E-01  0.0000000E+00 -0.4999831E-02  0.1124962E-05  0.9999624E+00  0.4109083E-02  0.1426212E+01  0.7672797E+00  0.4144931E-06
  0.1600000E-01  0.0000000E+00 -0.5333128E-02  0.1365281E-05  0.9999573E+00  0.4383022E-02  0.1426201E+01  0.7672697E+00  0.5030388E-06
  0.1700000E-01  0.0000000E+00 -0.5666420E-02  0.1637596E-05  0.9999517E+00  0.4656961E-02  0.1426190E+01  0.7672592E+00  0.6033733E-06
  0.1800000E-01  0.0000000E+00 -0.5999708E-02  0.1943906E-05  0.9999459E+00  0.4930900E-02  0.1426177E+01  0.7672479E+00  0.7162334E-06
